,Data,Ultimo,10_giorni_precedenti_Ultimo,20_giorni_precedenti_Ultimo,30_giorni_precedenti_Ultimo
132,162.82080000000002,316.55,338.35,357.09,361.23
133,162.8424,307.06,339.94,355.91,365.44
134,162.864,311.51,335.52,353.44,367.31
135,162.9288,321.44,338.84,355.55,368.95
136,162.9504,321.34,339.39,356.15,367.52
137,162.972,324.19,340.06,355.52,364.22
138,162.9936,318.71,332.39,351.48,365.32
139,163.0152,322.56,327.83,344.86,361.61
140,163.10160000000002,323.09,328.51,334.43,355.31
141,163.12320000000003,324.39,321.86,334.83,355.79
142,163.1448,320.46,316.55,338.35,357.09
143,163.1664,323.4,307.06,339.94,355.91
144,163.2312,321.63,311.51,335.52,353.44
145,163.2528,321.04,321.44,338.84,355.55
146,163.27439999999999,322.54,321.34,339.39,356.15
147,163.296,318.65,324.19,340.06,355.52
148,163.3176,316.83,318.71,332.39,351.48
149,163.3824,317.77,322.56,327.83,344.86
150,163.40400000000002,318.6,323.09,328.51,334.43
151,163.4256,316.6,324.39,321.86,334.83
152,163.4472,311.48,320.46,316.55,338.35
153,163.46880000000002,311.32,323.4,307.06,339.94
154,163.5336,304.59,321.63,311.51,335.52
155,163.55519999999999,308.26,321.04,321.44,338.84
156,163.5768,305.06,322.54,321.34,339.39
157,163.5984,300.97,318.65,324.19,340.06
158,163.62,306.05,316.83,318.71,332.39
159,163.68480000000002,314.94,317.77,322.56,327.83
160,163.7064,315.21,318.6,323.09,328.51
161,163.728,311.4,316.6,324.39,321.86
162,163.74960000000002,312.69,311.48,320.46,316.55
163,163.7712,311.5,311.32,323.4,307.06
164,163.836,313.48,304.59,321.63,311.51
165,163.8576,305.1,308.26,321.04,321.44
166,163.8792,300.39,305.06,322.54,321.34
167,163.9008,295.46,300.97,318.65,324.19
168,163.92239999999998,300.03,306.05,316.83,318.71
169,163.98719999999997,303.23,314.94,317.77,322.56
170,164.0088,298.92,315.21,318.6,323.09
171,164.03040000000001,298.76,311.4,316.6,324.39
172,164.05200000000002,305.74,312.69,311.48,320.46
173,164.0736,312.48,311.5,311.32,323.4
174,164.1384,314.76,313.48,304.59,321.63
175,164.16,312.36,305.1,308.26,321.04
176,164.1816,312.6,300.39,305.06,322.54
177,164.20319999999998,310.17,295.46,300.97,318.65
178,164.2248,304.71,300.03,306.05,316.83
179,164.2896,301.88,303.23,314.94,317.77
180,164.3112,304.06,298.92,315.21,318.6
181,164.33280000000002,304.0,298.76,311.4,316.6
182,164.3544,307.02,305.74,312.69,311.48
183,164.376,311.85,312.48,311.5,311.32
184,164.4408,314.59,314.76,313.48,304.59
185,164.4624,311.62,312.36,305.1,308.26
186,164.48399999999998,306.01,312.6,300.39,305.06
187,164.5056,307.61,310.17,295.46,300.97
188,164.5272,313.74,304.71,300.03,306.05
189,164.592,319.48,301.88,303.23,314.94
190,164.61360000000002,317.67,304.06,298.92,315.21
191,164.6352,320.4,304.0,298.76,311.4
192,164.6568,317.02,307.02,305.74,312.69
193,164.6784,317.12,311.85,312.48,311.5
194,164.7432,319.34,314.59,314.76,313.48
195,164.7648,315.31,311.62,312.36,305.1
196,164.7864,316.03,306.01,312.6,300.39
197,164.82960000000003,315.1,307.61,310.17,295.46
198,164.89440000000002,316.51,313.74,304.71,300.03
199,164.916,318.1,319.48,301.88,303.23
200,164.9376,317.95,317.67,304.06,298.92
201,164.9592,316.42,320.4,304.0,298.76
202,164.9808,322.22,317.02,307.02,305.74
203,165.0456,324.1,317.12,311.85,312.48
204,165.06719999999999,326.35,319.34,314.59,314.76
205,165.0888,329.92,315.31,311.62,312.36
206,165.1104,329.07,316.03,306.01,312.6
207,165.13199999999998,327.75,315.1,307.61,310.17
208,165.1968,328.89,316.51,313.74,304.71
209,165.2184,326.44,318.1,319.48,301.88
210,165.24,330.19,317.95,317.67,304.06
211,165.26160000000002,329.34,316.42,320.4,304.0
212,165.2832,326.82,322.22,317.02,307.02
213,165.34799999999998,326.02,324.1,317.12,311.85
214,165.3696,330.05,326.35,319.34,314.59
215,165.3912,330.2,329.92,315.31,311.62
216,165.41279999999998,330.12,329.07,316.03,306.01
217,165.43439999999998,331.75,327.75,315.1,307.61
218,165.4992,329.9,328.89,316.51,313.74
219,165.54240000000001,330.85,326.44,318.1,319.48
220,165.564,328.29,330.19,317.95,317.67
221,165.5856,328.72,329.34,316.42,320.4
222,165.6504,330.22,326.82,322.22,317.02
223,165.6936,326.45,326.02,324.1,317.12
224,165.71519999999998,321.91,330.05,326.35,319.34
225,165.73680000000002,321.0,330.2,329.92,315.31
