Data,Ultimo,10_giorni_precedenti_Ultimo,20_giorni_precedenti_Ultimo,30_giorni_precedenti_Ultimo
0.0,0.010275852901570279,0.0028357861372100106,0.01005430077210992,0.01458268059774688
7.90576330146342e-05,0.010561935420483504,0.0034643579190770483,0.00931060663241974,0.014371534825430132
0.00015811526602904635,0.011394175475503823,0.0034344749982997726,0.00948598525043623,0.013667715584374324
0.0002371728990434585,0.010767105711825334,0.0036539598991812104,0.009699103571063863,0.012882162495970073
0.0005534034311013292,0.009400267010350988,0.0037497913347773366,0.007752178912830171,0.013243153655092252
0.0006324610641158523,0.009307795893126511,0.0035241237606316277,0.008025236761134327,0.012296403256639749
0.0007115186971303755,0.008738520577713307,0.003945575988145756,0.007725539122751715,0.011771944402820728
0.0007905763301446767,0.008290613603657224,0.0038641707901662554,0.00679758643501889,0.012048931329945917
0.0010277492291881352,0.00959676813445301,0.003932180196073182,0.0067354269248358495,0.010096400532178168
0.0011068068622026583,0.010056233998162134,0.003567402473481484,0.00660222797444357,0.009431177830147991
0.0011858644952171815,0.010527258751524327,0.0036642643546216484,0.006109391857992169,0.010282572073360682
0.0012649221282315937,0.010772885156651854,0.003766278463482039,0.007463581186980248,0.009521993216090666
0.0013439797612460058,0.011582007432366051,0.00406304678016681,0.007399201694290661,0.009701353603327481
0.0015811526602894643,0.011061857397978353,0.0038394400971091917,0.007872057968183216,0.009919310529589928
0.0016602102933038765,0.012272651089136388,0.00335203935477622,0.00807851634129124,0.007928183192796534
0.0017392679263183997,0.01198945829263641,0.0033190650973668016,0.007592340172359449,0.008207440504570299
0.0018183255593328118,0.012948846133840383,0.003116067325190066,0.008500313017533428,0.007900938577013725
0.001897383192347335,0.012272651089136388,0.0029563482658631936,0.00832493439951694,0.006951917793912646
0.0021345560913907935,0.012486490547717999,0.0034221096517712372,0.00847145324494844,0.0068883470237527805
0.0022136137244052057,0.011714934663376239,0.0035859504932742835,0.007685579437634038,0.006752123944838734
0.002292671357419618,0.011966340513330287,0.0037539131169535105,0.007894257793248594,0.006248098552856837
0.002371728990434141,0.012313107202922086,0.003841500988197282,0.008114036061395838,0.007633033188482796
0.002450786623448664,0.01342276060961585,0.004130025740529692,0.00875339102327874,0.007567192033674355
0.0026879595224920116,0.013890895640564768,0.003944545542601711,0.008271654819360041,0.008050783963819155
0.002767017155506535,0.013324510047564825,0.004376302225556291,0.007221603093767626,0.008261929736135903
0.002846074788520836,0.012795690845937346,0.004275318562239946,0.007150563653558428,0.007764715498099706
0.002925132421535359,0.011625353268565022,0.004617426482862657,0.006713227099770458,0.00869330281936366
